data_domain,table_name,columns,comments,source,source_url,released_on,updated_on,rows_count,business_metadata
enterprise_establishment_surveys,asuse_per1000_proppartn_estb_by_other_econ_activities,"year, stateut, sector, indicator, activity_category, other_economic_activitycount, establishment_type, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=asuse,2025-01-20 00:00:00,2025-07-11 00:00:00,6750,Highlights prevalence (per 1000) of proprietors/partners engaging in other economic activities besides their main business.
enterprise_establishment_surveys,asuse_per1000_proppartn_estb_by_socialgroup_owner,"year, stateut, sector, indicator, activity_category, establishment_type, social_group_of_ownermajor_partner, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=asuse,2025-01-20 00:00:00,2025-07-11 00:00:00,8064,"Breaks down proprietary/partnership establishments by social group (e.g., SC/ST/OBC/General) of the owner or major partner."
enterprise_establishment_surveys,asuse_per_1000_distri_of_establishments_by_nature_of_operation,"year, stateut, sector, indicator, activity_category, establishment_type, nature_of_operation, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=asuse,2025-01-20 00:00:00,2025-07-11 00:00:00,8100,"Distribution (per 1000) of establishments by their operational nature (seasonal, perennial, casual), segmented by sector and activity."
enterprise_establishment_surveys,asuse_per_1000_distri_of_establishments_by_type_of_location,"year, stateut, sector, indicator, activity_category, establishment_type, location_of_establishments, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=asuse,2025-01-20 00:00:00,2025-07-11 00:00:00,9024,Displays how establishments are spread across types of locations per 1000 establishments.
enterprise_establishment_surveys,asuse_per_1000_distri_of_establishments_by_type_of_ownership,"year, stateut, sector, indicator, activity_category, establishment_type, ownership_type, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=asuse,2025-01-20 00:00:00,2025-07-11 00:00:00,8100,"Categorizes establishments per 1000 by ownership type (proprietary, partnership, others) across activity and sector."
enterprise_establishment_surveys,asuse_per_1000_of_establishments_which_are_npis_and_non_npis,"year, stateut, sector, indicator, broad_activity_category, npi_status, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=asuse,2025-01-20 00:00:00,2025-07-11 00:00:00,8100,Shows proportion of Non-Profit Institutions (NPIs) vs non-NPIs (per 1000) across broad activity categories.
enterprise_establishment_surveys,asuse_statewise_est_num_of_estb_pursuing_mixed_activity,"year, stateut, sector, indicator, broad_activity_category, establishment_type, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=asuse,2025-01-20 00:00:00,2025-07-11 00:00:00,9450,State-wise estimates of establishments engaged in mixed activities 
enterprise_establishment_surveys,asuse_statewise_est_num_of_estb_serving_as_franchisee_outlet,"year, stateut, sector, indicator, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=asuse,2025-01-20 00:00:00,2025-07-11 00:00:00,12150,"Estimates of establishments acting as franchisee outlets, broken down by state and sector."
enterprise_establishment_surveys,asuse_statewise_est_num_of_worker_by_employment_and_gender,"year, stateut, sector, indicator, broad_activity_category, establishment_type, gender, nature_of_employment, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=asuse,2025-01-20 00:00:00,2025-07-11 00:00:00,12096,State-level distribution of workers by gender and nature of employment 
enterprise_establishment_surveys,asuse_statewise_estimated_annual_emoluments_per_hired_worker,"year, stateut, sector, indicator, sub_indicator, broad_activity_category, establishment_type, hired_worker, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=asuse,2025-01-20 00:00:00,2025-07-11 00:00:00,13500,"Average annual emoluments paid per hired worker, reported at the state level across sectors."
enterprise_establishment_surveys,asuse_statewise_estimated_annual_gva_per_establishment_rupees,"year, stateut, sector, indicator, broad_activity_category, establishment_type, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=asuse,2025-01-20 00:00:00,2025-07-11 00:00:00,16128,Shows annual Gross Value Added (GVA) per establishment (in ₹) by state and sector.
enterprise_establishment_surveys,asuse_statewise_estimated_annual_gva_per_worker_rupees,"year, stateut, sector, indicator, broad_activity_category, establishment_type, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=asuse,2025-01-20 00:00:00,2025-07-11 00:00:00,72576,"Displays annual GVA per worker (₹) at the state level, across various activities and sectors."
enterprise_establishment_surveys,asuse_statewise_estimated_number_of_workers_by_type_of_workers,"year, stateut, sector, indicator, broad_activity_category, establishment_type, gender, type_of_worker, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=asuse,2025-01-20 00:00:00,2025-07-11 00:00:00,36288,"Estimates the number of workers by type (e.g., self-employed, hired) and gender per state."
enterprise_establishment_surveys,asuse_statewise_per1000_distri_of_estb_by_nature_of_operation,"year, stateut, sector, indicator, broad_activity_category, establishment_type, nature_of_operation, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=asuse,2025-01-20 00:00:00,2025-07-11 00:00:00,24192,Statewise share (per 1000) of establishments categorized by their operational nature.
enterprise_establishment_surveys,asuse_statewise_per1000_distri_of_estb_by_type_of_location,"year, stateut, sector, indicator, broad_activity_category, establishment_type, location_of_establishments, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=asuse,2025-01-20 00:00:00,2025-07-11 00:00:00,24300,Indicates the distribution of establishments per 1000 across various location types within each state.
enterprise_establishment_surveys,asuse_statewise_per1000_distri_of_estb_by_type_of_ownership,"year, stateut, sector, indicator, broad_activity_category, establishment_type, ownership_type, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=asuse,2025-01-20 00:00:00,2025-07-11 00:00:00,18864,"Shows the ownership pattern (e.g., individual, partnership) of establishments per 1000, statewise."
enterprise_establishment_surveys,asuse_statewise_per1000_estb_by_hours_worked_per_day,"year, stateut, sector, indicator, broad_activity_category, no_of_working_hours, establishment_type, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=asuse,2025-01-20 00:00:00,2025-07-11 00:00:00,41616,"Breaks down per 1000 establishments by average daily working hours, across states."
enterprise_establishment_surveys,asuse_statewise_per1000_estb_by_month_num_operated_last365_day,"year, stateut, sector, indicator, broad_activity_category, establishment_type, no_of_months_operated, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=asuse,2025-01-20 00:00:00,2025-07-11 00:00:00,40320,"Reports the number of operational months (out of 12) per 1000 establishments in the past year, by state."
enterprise_establishment_surveys,asuse_statewise_per1000_estb_maintain_post_bank_saving_acc,"year, stateut, sector, indicator, broad_activity_category, establishment_type, account_holder, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=asuse,2025-01-20 00:00:00,2025-07-11 00:00:00,27804,State-level data on how many establishments per 1000 maintain a post office or bank savings account.
enterprise_establishment_surveys,asuse_statewise_per1000_estb_registered_diff_acts_authorities,"year, stateut, sector, indicator, sub_indicator, actsagency_of_registration, broad_activity_category, establishment_type, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=asuse,2025-01-20 00:00:00,2025-07-11 00:00:00,24192,"Shows the number of registered establishments (per 1000) under various acts and authorities, statewise."
enterprise_establishment_surveys,asuse_statewise_per1000_estb_use_computer_internet_last365_day,"year, stateut, sector, indicator, sub_indicator, broad_activity_category, establishment_type, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=asuse,2025-01-20 00:00:00,2025-07-11 00:00:00,20160,"Captures computer/internet usage among establishments in the past year, per 1000, across states."
enterprise_establishment_surveys,asuse_statewise_per1000_proppart_estb_by_social_grp_mjr_prtner,"year, stateut, sector, indicator, broad_activity_category, establishment_type, social_group_of_ownermajor_partner, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=asuse,2025-01-20 00:00:00,2025-07-11 00:00:00,13950,"Shows per 1000 proprietary/partnership establishments by the social group of the main owner/partner, statewise."
social_migration_and_households,mis_access_to_improved_source_of_drinking_water,"indicator, f_value, sub_indicator, sector, state",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss78,2023-03-23 00:00:00,2025-07-10 00:00:00,222,"Shows the proportion of households with access to improved sources of drinking water, categorized by sector and sub-indicator."
social_migration_and_households,mis_access_to_mass_media_and_broadband,"sector, f_value, internet_access, state, indicator",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss78,2023-03-23 00:00:00,2025-07-10 00:00:00,222,"Captures household access to internet, mass media, and broadband services, broken down by sector and indicator."
social_migration_and_households,mis_availability_of_basic_transport_and_public_facility,"sub_indicator, indicator, sector, f_value, state",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss78,2023-03-23 00:00:00,2025-07-10 00:00:00,333,"Provides data on household access to transportation and public facilities, grouped by sector and sub-indicator."
social_migration_and_households,mis_different_source_of_finance,"f_value, state, source_of_finance, indicator, sector",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss78,2023-03-23 00:00:00,2025-07-10 00:00:00,555,"Describes various financial sources accessed by households, categorized by sector and type of finance source."
social_migration_and_households,mis_exclusive_access_to_improved_latrine,"sector, indicator, state, f_value, sub_indicator",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss78,2023-03-23 00:00:00,2025-07-10 00:00:00,222,"Indicates households with exclusive access to improved sanitation facilities, segmented by sector and sub-indicator."
social_migration_and_households,mis_household_assets,"indicator, sector, sub_indicator, state, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss78,2023-03-23 00:00:00,2025-07-10 00:00:00,333,"Details asset ownership (like vehicles, appliances) among households, categorized by sector and asset type."
social_migration_and_households,mis_improved_latrine_and_hand_wash_facility_in_households,"sub_indicator, state, indicator, sector, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss78,2023-03-23 00:00:00,2025-07-10 00:00:00,555,Reports availability of both improved latrines and handwashing facilities within households by sector and state.
social_migration_and_households,mis_improved_source_of_drinking_water_within_household,"sector, sub_indicator, state, f_value, indicator",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss78,2023-03-23 00:00:00,2025-07-10 00:00:00,555,"Shows the presence of improved drinking water sources within the household premises, segmented by sector and sub-indicator."
social_migration_and_households,mis_income_change_due_to_migration,"indicator, f_value, sector, sub_indicator, state",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss78,2023-03-23 00:00:00,2025-07-10 00:00:00,555,"Analyzes household income variation resulting from migration, grouped by sector and sub-indicator."
social_migration_and_households,mis_main_reason_for_leaving_last_usual_place_of_residence,"state, f_value, gender, sector, migration_reason, indicator",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss78,2023-03-23 00:00:00,2025-07-10 00:00:00,6327,"Provides insights into reasons for leaving previous residence, segmented by gender, sector, and migration reason."
social_migration_and_households,mis_main_reason_for_migration,"sector, f_value, gender, indicator, state, main_reason_for_migration",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss78,2023-03-23 00:00:00,2025-07-10 00:00:00,6327,"Captures the primary reasons for migration across sectors and genders, such as employment, marriage, or education."
social_migration_and_households,mis_possession_of_air_conditioner_and_air_cooler,"desc, indicator, sector, sub_indicator, state, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss78,2023-03-23 00:00:00,2025-07-10 00:00:00,440,"Indicates household ownership of air conditioners or coolers, segmented by sector and type."
social_migration_and_households,mis_usage_of_mobile_phone,"state, sector, gender, age_group, indicator, f_value",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss78,2023-03-23 00:00:00,2025-07-10 00:00:00,666,"Reflects mobile phone usage patterns across gender, age groups, and sectors.

"
social_migration_and_households,mis_usual_place_of_residence_different_from_current_place,"f_value, indicator, sector, state",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss78,2023-03-23 00:00:00,2025-07-10 00:00:00,111,"Highlights households whose current residence differs from their usual place of residence, categorized by sector."
agriculture_and_rural,sa_agri_hhs_crop_sale_quantity_by_agency_major_disposal,"f_value, indicator, sub_indicator, season, crop, crop_agency, visit, data_source, updated_on, state, released_on",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss77&tab=table,2021-09-01 00:00:00,2025-07-11 00:00:00,20,"Data on crop sale quantities by major disposal agencies, categorized by crop type, season, and state, including the source and timing of data collection and release."
agriculture_and_rural,sa_agri_hhs_reporting_use_of_diff_farming_resources,"f_value, indicator, season, resource, sub_resource, major_procurement, sub_major_procurement, visit_name, data_source, updated_on, state, released_on",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss77&tab=table,2021-09-01 00:00:00,2025-07-11 00:00:00,1488,"Data capturing the reported use of different farming resources (e.g., tools, inputs) by households across states and seasons, categorized by procurement type and source of data collection."
agriculture_and_rural,sa_agri_hhs_use_purchased_seed_by_quality,"f_value, indicator, season, agency_procurement, seed_procurements, sub_seed_procurements, visit_name, data_source, updated_on, state, released_on",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss77&tab=table,2021-09-01 00:00:00,2025-07-11 00:00:00,1158,"Captures household-level agricultural data on the usage of purchased seeds categorized by quality, procurement agency, and seed type across different states and seasons."
agriculture_and_rural,sa_avg_expenditure_and_receipts_on_farm_and_nonfarm_assets,"f_value, indicator, sub_indicator, season, land_possessedhectares, expenditure_receipt, productive_assets, business_type, data_source, updated_on, state, released_on",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss77&tab=table,2021-09-01 00:00:00,2025-07-11 00:00:00,1860,"Provides average expenditure and income data related to farm and non-farm productive assets and businesses, segmented by landholding size, season, and state."
agriculture_and_rural,sa_avg_gross_cropped_area_value_quantity_crop_production,"state, indicator, sub_indicator, season, harvested_name, sub_harvested, visit_name, f_value, data_source, updated_on, released_on",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss77&tab=table,2021-09-01 00:00:00,2025-07-11 00:00:00,1560,"Details the average gross cropped area along with the quantity and value of crop production, categorized by crop type, season, and state-level harvesting activity."
agriculture_and_rural,sa_avg_monthly_expenses_and_receipts_for_crop_production,"f_value, indicator, season, land_possessedhectares, crop_production, expenses_recipt, data_source, updated_on, state, released_on",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss77&tab=table,2021-09-01 00:00:00,2025-07-11 00:00:00,2509,Captures average monthly crop production expenses and receipts based on land possession size and type of crop. Useful for analyzing profitability across farm sizes.
agriculture_and_rural,sa_avg_monthly_total_expenses_crop_production,"f_value, indicator, sub_indicator, season, land_possessedhectares, crop_production, data_source, updated_on, state, released_on",,"National Sample Survey Office, MoSPI",https://esankhyiki.mospi.gov.in/macroindicators-main/macroindicators?product=nss77&tab=table,2021-09-01 00:00:00,2025-07-11 00:00:00,2145,"Provides total average monthly expenses incurred by agricultural households on crop production, segmented by landholding size and crop type."
